university,course_name,gross_tuition_fee,cost_of_living,earliest_intake,program_duration,program_type,application_deadline
Cleveland State University,Biology,20270,12100,Aug-24,4,Bachelors Degree,May-24
Auburn University at Montgomery,Biology,18946,10860,Aug-24,4,Bachelors Degree,May-24
Arizona State University,Biology,11324,14718,Aug-24,4,Bachelors Degree,May-24
American University,Biology,54354,19000,Aug-24,4,Bachelors Degree,May-24
Alma College,Biology,47160,17166,Aug-24,4,Bachelors Degree,May-24
Adelphi University,Biology,43262,21000,Aug-24,4,Bachelors Degree,May-24
Augustana University,Aerospace Engineering,38150,8862,Aug-24,4,Bachelors Degree,May-24
University of South Carolina,Aerospace Engineering,36158,18880,Aug-24,4,Bachelors Degree,May-24
Lewis University - Chicago,Aerospace Engineering,37592,12345,Aug-24,4,Bachelors Degree,May-24
Arizona State University,Aerospace Engineering,34398,14718,Aug-24,4,Bachelors Degree,May-24
Auburn University,Aerospace Engineering,35100,11800,Aug-24,4,Bachelors Degree,May-24
Pacific Lutheran University,Civil Engineering,49472,12448,Aug-24,4,Bachelors Degree,May-24
William Jewell College,Civil Engineering,19320,11381,Aug-24,4,Bachelors Degree,May-24
Florida Atlantic University,Civil Engineering,17844,14840,Aug-24,4,Bachelors Degree,May-24
University of Hartford,Civil Engineering,51500,17208,Aug-24,4,Bachelors Degree,May-24
Ohio Northern University,Civil Engineering,38250,12650,Aug-24,4,Bachelors Degree,May-24
San Francisco State University (SFSU),Civil Engineering,25000,26251,Aug-24,4,Bachelors Degree,May-24
Lipscomb University,Civil Engineering,40572,14645,Aug-24,4,Bachelors Degree,May-24
James Madison University,Civil Engineering,25723,14216,Aug-24,4,Bachelors Degree,May-24
Tennessee Tech University,Civil Engineering,27970,12000,Aug-24,4,Bachelors Degree,May-24
University of Utah,Civil Engineering,33262,12634,Aug-24,4,Bachelors Degree,May-24
University of the Pacific - Stockton,Civil Engineering,58005,16207,Aug-24,4,Bachelors Degree,May-24
University of South Carolina,Civil Engineering,40977,18880,Aug-24,4,Bachelors Degree,May-24
University of Jamestown,Civil Engineering,24000,13503,Aug-24,4,Bachelors Degree,May-24
University of Illinois at Chicago,Civil Engineering,33000,20460,Aug-24,4,Bachelors Degree,May-24
University of Dayton,Civil Engineering,42900,20305,Aug-24,4,Bachelors Degree,May-24
Purdue University Northwest,Civil Engineering,17668,15000,Aug-24,4,Bachelors Degree,May-24
Merrimack College,Civil Engineering,45815,18974,Aug-24,4,Bachelors Degree,May-24
Louisiana State University,Civil Engineering,30900,16600,Aug-24,4,Bachelors Degree,May-24
Hope College,Civil Engineering,39990,14015,Aug-24,4,Bachelors Degree,May-24
Gonzaga University,Civil Engineering,14645,12790,Aug-24,4,Bachelors Degree,May-24
Auburn University at Montgomery,Civil Engineering,41340,10860,Aug-24,4,Bachelors Degree,May-24
Husson University,Business Administration,22072,12682,Aug-24,4,Bachelors Degree,May-24
Lycoming College,Business Administration,48771,16277,Aug-24,4,Bachelors Degree,May-24
Whittier College,Business Administration,48924,14878,Aug-24,4,Bachelors Degree,May-24
Bay Atlantic University,Business Administration,19050,27000,Aug-24,4,Bachelors Degree,May-24
Western Washington University,Business Administration,26613,13838,Aug-24,4,Bachelors Degree,May-24
University of St. Thomas (Minnesota),Business Administration,50788,12619,Aug-24,4,Bachelors Degree,May-24
St. Francis College,Business Administration,27571,18000,Aug-24,4,Bachelors Degree,May-24
University of Utah,Business Administration,31810,12634,Aug-24,4,Bachelors Degree,May-24
University of Massachusetts Boston,Business Administration,37140,16000,Aug-24,4,Bachelors Degree,May-24
University of Bridgeport,Business Administration,32860,10000,Aug-24,4,Bachelors Degree,May-24
San Francisco State University (SFSU),Business Administration,30000,26251,Aug-24,4,Bachelors Degree,May-24
Pacific Lutheran University,Business Administration,49472,12448,Aug-24,4,Bachelors Degree,May-24
Long Island University - Brooklyn,Business Administration,39458,18378,Aug-24,4,Bachelors Degree,May-24
Hope College,Business Administration,39990,14015,Aug-24,4,Bachelors Degree,May-24
Cleveland State University,Business Administration,18883,12100,Aug-24,4,Bachelors Degree,May-24
Auburn University at Montgomery,Business Administration,32216,10860,Aug-24,4,Bachelors Degree,May-24
Arizona State University,Business Administration,34398,14718,Aug-24,4,Bachelors Degree,May-24
Merrimack College,Physics,45815,18974,Aug-24,4,Bachelors Degree,May-24
University of Hartford,Physics,45500,17208,Aug-24,4,Bachelors Degree,May-24
Augustana University,Physics,38150,8862,Aug-24,4,Bachelors Degree,May-24
William Jewell College,Physics,19320,11381,Aug-24,4,Bachelors Degree,May-24
Wilkes University,Physics,36888,15410,Aug-24,4,Bachelors Degree,May-24
Webster University (WU) - St. Louis,Physics,26613,13000,Aug-24,4,Bachelors Degree,May-24
University of Utah,Physics,31810,12634,Aug-24,4,Bachelors Degree,May-24
University of South Carolina,Physics,35158,18880,Aug-24,4,Bachelors Degree,May-24
University of Massachusetts Boston,Physics,34648,16000,Aug-24,4,Bachelors Degree,May-24
University of Illinois at Chicago,Physics,30900,20460,Aug-24,4,Bachelors Degree,May-24
University of Dayton,Physics,35912,20305,Aug-24,4,Bachelors Degree,May-24
The University of Tulsa (TU),Physics,46932,12816,Aug-24,4,Bachelors Degree,May-24
Tennessee Tech University,Physics,27970,12000,Aug-24,4,Bachelors Degree,May-24
St. Cloud State University,Physics,9858,10428,Aug-24,4,Bachelors Degree,May-24
San Francisco State University (SFSU),Physics,25000,26251,Aug-24,4,Bachelors Degree,May-24
Radford University,Physics,20246,10566,Aug-24,4,Bachelors Degree,May-24
Queens College of The City University of New York,Physics,18519,19127,Aug-24,4,Bachelors Degree,May-24
Purdue University Northwest,Physics,17416,15000,Aug-24,4,Bachelors Degree,May-24
Ohio Northern University,Physics,38250,12650,Aug-24,4,Bachelors Degree,May-24
Northeastern Illinois University,Physics,25857,14000,Aug-24,4,Bachelors Degree,May-24
Millersville University,Physics,19320,12600,Aug-24,4,Bachelors Degree,May-24
Miami University - Oxford,Physics,38493,15080,Aug-24,4,Bachelors Degree,May-24
Madonna University - Livonia,Physics,26100,19260,Aug-24,4,Bachelors Degree,May-24
Louisiana State University,Physics,29355,16600,Aug-24,4,Bachelors Degree,May-24
Lipscomb University,Physics,40572,14645,Aug-24,4,Bachelors Degree,May-24
Lewis University - Chicago,Physics,37592,12345,Aug-24,4,Bachelors Degree,May-24
James Madison University,Physics,13750,14216,Aug-24,4,Bachelors Degree,May-24
Hope College,Physics,39990,14015,Aug-24,4,Bachelors Degree,May-24
Gonzaga University,Physics,39058,12790,Aug-24,4,Bachelors Degree,May-24
Florida Atlantic University,Physics,17844,14840,Aug-24,4,Bachelors Degree,May-24
East Carolina University,Physics,23793,18659,Aug-24,4,Bachelors Degree,May-24
Duquesne University,Physics,43526,21360,Aug-24,4,Bachelors Degree,May-24
Cleveland State University,Physics,17966,12100,Aug-24,4,Bachelors Degree,May-24
Auburn University at Montgomery,Physics,32216,10860,Aug-24,4,Bachelors Degree,May-24
Arizona State University,Physics,34398,14718,Aug-24,4,Bachelors Degree,May-24
Adelphi University,Physics,42210,21000,Aug-24,4,Bachelors Degree,May-24
